Route,Day,Location,Incident,Min Gap,Date_,Month,Hour
86,Saturday,CORONATION AND WALLSEN,Operations - Operator,40,2024-08-31,8,14
154,Friday,LAWRENCE AND GREENCRES,Mechanical,48,2024-09-13,9,8
927,Monday,MARTIN GROVE AND BETTE,Operations - Operator,19,2024-06-24,6,16
96,Friday,BATHURST AND WILSON,Mechanical,40,2024-05-24,5,15
38,Saturday,SCABROROUGH CENTRE STA,Operations - Operator,20,2024-06-08,6,14
929,Monday,WESTON AND RAY AVE,Mechanical,16,2024-07-29,7,6
42,Monday,FINCH STATION,Mechanical,30,2024-07-08,7,15
36,Sunday,FINCH AND KENDLETON,Operations - Operator,12,2024-05-05,5,16
41,Friday,KEELE AND LAWRENCE,Operations - Operator,20,2024-01-05,1,20
96,Monday,HUMBERLINE LOOP,Operations - Operator,40,2024-04-15,4,17
95,Saturday,YORK MILLS STATION,Diversion,36,2024-02-24,2,0
900,Saturday,KIPLING STATION,Emergency Services,16,2024-06-15,6,22
29,Monday,DUFFERIN AND LAWRENCE,Mechanical,16,2024-06-17,6,17
47,Tuesday,LANSDOWNE AND WADE,Utilized Off Route,40,2024-09-10,9,22
85,Tuesday,DON MILLS STATION,Vision,18,2024-06-04,6,7
320,Tuesday,YONGE AND COLLEGE,Security,28,2024-09-17,9,5
42,Saturday,FINCH STATION,Mechanical,36,2024-02-24,2,15
54,Sunday,EGLINTON STATION,Emergency Services,32,2024-04-07,4,9
122,Thursday,DUNCAN MILLS AND DON M,Operations - Operator,40,2024-01-25,1,13
36,Monday,FINCH WEST STATION,Mechanical,11,2024-01-15,1,7
72,Sunday,PAPE STATION,Operations - Operator,36,2024-04-28,4,8
89,Friday,KEELE STATION,Emergency Services,20,2024-08-16,8,20
36,Friday,FINCH STATION,Security,40,2024-07-12,7,1
45,Monday,KIPLING AND KIDRON VAL,Mechanical,20,2024-07-22,7,21
54,Wednesday,EGLINTON AND LESLIE,Diversion,53,2024-01-17,1,7
168,Tuesday,DUNDAS WEST STATION,Operations - Operator,16,2024-06-11,6,14
165,Wednesday,WILSON AND CLAYSON,Operations - Operator,20,2024-01-03,1,22
102,Saturday,WARDEN STATION,Operations - Operator,15,2024-06-29,6,16
70,Monday,ST CLAIR AND O'CONNOR,Collision - TTC,22,2024-09-30,9,12
60,Wednesday,YONGE AND CUMMER/DREWR,Operations - Operator,18,2024-01-17,1,14
40,Thursday,DUNDAS WEST STATION,Mechanical,40,2024-02-29,2,13
44,Wednesday,KIPLING STATION,Operations - Operator,12,2024-06-19,6,7
43,Tuesday,KENNEDY AND MUNHAM GAT,Mechanical,20,2024-06-18,6,8
54,Wednesday,LAWRENCE AND WARDEN,Operations - Operator,8,2024-02-21,2,17
116,Monday,MORNINGSIDE AND NIGHTS,Mechanical,16,2024-08-12,8,16
902,Monday,MARKHAM AND NUGGET,Mechanical,24,2024-09-23,9,9
64,Sunday,HALDON AND COSBURN,Collision - TTC,20,2024-08-04,8,12
939,Friday,FINCH WEST STATION,Operations - Operator,21,2024-02-16,2,14
29,Friday,WILSON STATION,Vision,16,2024-08-16,8,17
32,Monday,EGLINTON STATION,Mechanical,23,2024-07-08,7,9
63,Friday,EGLINTON WEST STATION,Utilized Off Route,8,2024-04-26,4,13
14,Saturday,EGLINTON AND CHAPLIN,Vision,26,2024-01-13,1,5
900,Saturday,KIPLING STATION,Operations - Operator,16,2024-03-02,3,19
7,Wednesday,GREENWIN VILLAGE AND B,Mechanical,20,2024-01-24,1,18
45,Monday,KIPLING AND REXDALE GA,Mechanical,40,2024-05-06,5,7
45,Tuesday,KIPLING STATION,Operations - Operator,25,2024-09-10,9,23
131,Friday,SCARBOROUGH TOWN CENTR,Mechanical,30,2024-08-16,8,22
89,Tuesday,KEELE AND ANNETTEB,General Delay,17,2024-06-04,6,6
939,Friday,MCCOWAN AND FINCH,Mechanical,32,2024-06-07,6,23
24,Monday,VICTORIA PARK STATION,Utilized Off Route,44,2024-05-13,5,13
